Título,Autor(es),Resumen,Abstract,Fecha,Volumen,Número,Primera página,Última página,Área temática,Número de artículo,Palabras clave,PDF_ID,URL_PDF,Keywords,Tipo,Type
Impacto Sociodemográfico de las Políticas de Reforma Agraria en el Valle del Aconcagua,Pascal Cea,"El estudio analiza el proceso de la Reforma Agraria en el Valle del Aconcagua, Chile, con el objetivo de evaluar su impacto socioeconómico y cultural. Se examina la transformación de las familias terratenientes, marcadas por la pérdida y eventual recuperación de tierras, y del campesinado, que transitó desde el inquilinaje hacia la propiedad agrícola. Los resultados muestran que la Reforma no solo implicó la redistribución de tierras, sino también una reconfiguración de las relaciones sociales, la identidad campesina y las formas de organización comunitaria. Se concluye que este proceso constituyó un momento importante en la historia agraria chilena y dejó un legado estructural en el espacio rural.","This study analyzes the Agrarian Reform process in the Aconcagua Valley, Chile, aiming to evaluate its socioeconomic and cultural impact. It examines the transformation of landowner families, marked by the loss and eventual recovery of lands, and the peasantry, which transitioned from tenancy to agricultural ownership.
The results show that the Reform not only involved land redistribution but also a reconfiguration of social relations, peasant identity, and forms of community organization. It is concluded that this process was a significant moment in Chilean agrarian history and left a structural legacy in the rural landscape.",2025-11-10,1,1,1,11,Historia del s. XX Chilena,1,Reforma Agraria; Valle del Aconcagua; Propiedad de la Tierra; Transformación Social; Estructuras Agrarias; Siglo XX,,https://www.revistacienciasestudiantes.com/Articles/Article-impacto-sociodemografico-de-las-politicas-de-reforma-agraria-en-el-valle-del-aconcagua-1.pdf,Agrarian Reform; Aconcagua Valley; Land Ownership; Social Transformation; Agrarian Structures; 20th Century,,
Historia e Impacto del Yodo en la Salud Chilena,Mariana Moraga,"Este estudio examina la historia y el impacto de la yodación de la sal en Chile como una estrategia de salud pública para combatir la deficiencia de yodo. Se analiza el papel del yodo en la salud humana, particularmente en la prevención del bocio endémico y el cretinismo, y se evalúan los efectos socioeconómicos de su implementación en Chile desde 1979. Se exploran los logros en la reducción de enfermedades relacionadas con el déficit de yodo, así como los desafíos enfrentados, como el exceso de yodo y los cambios en los hábitos alimentarios. Los resultados destacan el éxito de la yodación de la sal en la mejora de la salud, la productividad y la equidad social, posicionando a Chile como un modelo de intervención preventiva.","This study examines the history and impact of salt iodization in Chile as a public health strategy to combat iodine deficiency. It analyzes the role of iodine in human health, particularly in preventing endemic goiter and cretinism, and evaluates the socioeconomic effects of its implementation in Chile since 1979. It explores the achievements in reducing diseases related to iodine deficiency, as well as the challenges faced, such as iodine excess and changes in dietary habits. The results highlight the success of salt iodization in improving health, productivity, and social equity, positioning Chile as a model for preventive intervention.",2025-11-27,1,1,12,18,Nutrición y Salud Pública Chilena,2,Yodación de la sal; Deficiencia de yodo; Bocio endémico; Cretinismo; Salud pública; Chile,,https://www.revistacienciasestudiantes.com/Articles/Article-el-sueno-humano-y-sus-ciclos-bases-neurobiologicas-y-consecuencias-de-la-privacion-del-descanso-2.pdf,Salt iodization; Iodine deficiency; Endemic goiter; Cretinism; Public health; Chile,,
Sendero Luminoso: Cuando el Pueblo También es un Enemigo,Agustín Maturana; Santiago Vargas,"Este trabajo explora la época del terrorismo en Perú a través de los ojos de quienes lo vivieron, centrándose en el grupo maoísta Sendero Luminoso, liderado por Abimael Guzmán, alias “Camarada Gonzalo”. Surgido en 1970, este grupo sembró miedo y muerte durante los años 80, afectando a líderes, campesinos y civiles por igual. A través de testimonios de víctimas, se analiza la delgada línea entre revolución y terrorismo, mostrando cómo el terror se convirtió en el motor y la esencia de la estrategia senderista. Lejos de buscar apoyo popular, Sendero dominaba mediante el miedo, dejando una huella de dolor en la sociedad peruana. En definitiva, cuando los tiempos son duros, no nacen hombres fuertes, sino víctimas y victimarios.","This study examines the era of terrorism in Peru through the perspective of those who lived it, focusing on the Maoist group “Sendero Luminoso”, led by Abimael Guzmán, aka “Camarada Gonzalo”. Founded in 1970, this group spread fear and death across the 1980s, targeting leaders, peasants, and civilians alike. Through victims’ testimonies, the study explores the fine line between revolution and terrorism, highlighting how terror became the core of Sendero Luminoso’s strategy. Far from seeking popular support, the group ruled through fear, leaving a lasting scar on Peruvian society. In the end, when times are harsh, no strong men are born, only victims and perpetrators.",2025-11-29,1,1,20,24,Historia del Terrorismo en Perú durante la Guerra Fría,3,Sendero Luminoso; Abimael Guzmán; Terrorismo en Perú; Maoísmo; Guerra Fría; Testimonios de Víctimas,,https://www.revistacienciasestudiantes.com/Articles/Article-sendero-luminoso-cuando-el-pueblo-tambien-es-un-enemigo-3.pdf,Sendero Luminoso; Abimael Guzmán; Terrorism in Peru; Maoism; Cold War; Victims’ Testimonies,,
Panamá en la Guerra Fría: Comparativa del Antes y Durante de su Utilización Estratégica de EE.UU,Cristóbal Rojas; Sofía Flores,"La historia de Panamá en el siglo XX muestra cómo la geografía política definió relaciones de poder en un periodo marcado por la Guerra Fría. Su posición estratégica en el istmo y el control estadounidense del Canal generaron tensiones sociales, desigualdades y un fuerte nacionalismo. Este trabajo recorre los tratados Hay-Herrán, Hay-Bunau Varilla y Torrijos-Carter para explicar la evolución de la soberanía panameña, la militarización del istmo y la importancia del canal en la política hemisférica. También aborda la crisis final en torno a Manuel Noriega, que precedió a la entrega definitiva del canal en 1999.","The history of twentieth-century Panama reveals how political geography shaped power dynamics during the Cold War. Panama’s strategic position and the long U.S. control of the Canal produced social tensions, inequalities, and rising nationalism. This study traces the Hay-Herrán, Hay-Bunau Varilla, and Torrijos-Carter treaties to explain the evolution of Panamanian sovereignty, the militarization of the isthmus, and the canal’s hemispheric relevance. It also examines the final crisis surrounding Manuel Noriega, preceding the canal’s transfer to Panama in 1999.",2025-11-29,1,1,25,30,Historia de América Latina durante la Guerra Fría,4,Canal de Panamá; Tratado Hay-Herrán; Tratado Hay-Bunau Varilla; Tratados Torrijos-Carter; Imperialismo estadounidense; Soberanía panameña; Guerra Fría; Nacionalismo panameño; Zona del Canal; Escuela de las Américas,,https://www.revistacienciasestudiantes.com/Articles/Article-panama-en-la-guerra-fria-comparativa-del-antes-y-durante-de-su-utilizacion-estrategica-de-eeuu-4.pdf,Panama Canal; Hay-Herrán Treaty; Hay-Bunau Varilla Treaty; Torrijos-Carter Treaties; U.S. Imperialism; Panamanian Sovereignty; Cold War; Panamanian Nationalism; Canal Zone; School of the Americas,,
Del Somocismo al Sandinismo: La Guerra Fría y la Lucha por el Poder en Nicaragua,Magdalena Leal; Roberto Díaz,"El documento analiza la transición de Nicaragua desde la dictadura somocista hasta la revolución sandinista dentro del contexto de la Guerra Fría. Explica cómo el régimen de los Somoza, sostenido durante décadas por Estados Unidos, generó desigualdad, autoritarismo y represión, lo que impulsó el surgimiento del FSLN (Frente Sandinista de Liberación Nacional) y la insurrección popular que culminó en 1979. A través de las fotografías de Susan Meiselas (incluyendo Molotov Man, Final Offensive y la serie Pictures from a Revolution) se destaca la importancia del registro visual para comprender tanto la lucha revolucionaria como sus consecuencias sociales y urbanas a largo plazo. Asimismo, el documental Destination Nicaragua muestra la conflictiva década de 1980, marcada por la guerra entre sandinistas y contras, la intervención estadounidense y el impacto directo en la población civil. El texto concluye que estos documentos permiten entender la complejidad histórica de Nicaragua y el peso de las tensiones ideológicas globales.","The document analyzes Nicaragua’s transition from the Somoza dictatorship to the Sandinista revolution within the context of the Cold War. It explains how the Somoza regime, sustained for decades by the United States, generated inequality, authoritarianism, and repression, which spurred the emergence of the FSLN (Sandinista National Liberation Front) and the popular insurrection that culminated in 1979. Through Susan Meiselas’s photographs (including Molotov Man, Final Offensive, and the Pictures from a Revolution series), the importance of visual records is highlighted to understand both the revolutionary struggle and its long-term social and urban consequences. Likewise, the documentary Destination Nicaragua depicts the conflictive 1980s, marked by the war between Sandinistas and Contras, U.S. intervention, and the direct impact on the civilian population. The text concludes that these documents allow for understanding Nicaragua’s historical complexity and the weight of global ideological tensions.",2025-11-29,1,1,31,39,Historia de Nicaragua durante la Guerra Fría,5,Somocismo; Sandinismo; Revolución Sandinista; Guerra Fría; Susan Meiselas; Guerra de los Contras; Intervención estadounidense; Memoria histórica; Documentales; Fotografía documental,,https://www.revistacienciasestudiantes.com/Articles/Article-del-somocismo-al-sandinismo-la-guerra-fria-y-la-lucha-por-el-poder-en-nicaragua-5.pdf,Somocism; Sandinism; Sandinista Revolution; Cold War; Susan Meiselas; Contras War; U.S. Intervention; Historical Memory; Documentaries; Documentary Photography,,
La Música y el Cine como Métodos de Propaganda en la Guerra Fría,Jun Ho Jeon; Camilo Flores,"En este trabajo, hemos decidido enfocar nuestra investigación en las películas y canciones, como una forma de observar la influencia que ejercían las potencias en duelo durante la Guerra Fría, esto debido a que no solo muestran la información que la sociedad consume, sino que también reflejan las creencias comunes de la sociedad o de un grupo específico al que pertenece el autor de determinada obra. El objetivo de esta investigación es analizar cómo esta información se reflejó en Cuba, Chile y Nicaragua, de modo que nos permita comprender cómo esta influencia moldeó el pensamiento socio-político y la cultura popular en América Latina.","In this work, we have decided to focus our research on films and songs as a way to observe the influence exerted by the dueling powers during the Cold War, because they not only show the information that society consumes, but also reflect the common beliefs of society or of a specific group to which the author of a certain work belongs. The objective of this research is to analyze how this information was reflected in Cuba, Chile and Nicaragua, in such a way that it allows us to understand how this influence shaped socio-political thought and popular culture in Latin America.",2025-11-29,1,1,40,44,Historia de Latinoamérica en la Guerra Fría,6,Guerra Fría; Propaganda; Cine; Música; Cuba; Chile; Nicaragua; Ideologías,,https://www.revistacienciasestudiantes.com/Articles/Article-la-musica-y-el-cine-como-metodos-de-propaganda-en-la-guerra-fria-6.pdf,Cold War; Propaganda; Cinema; Music; Cuba; Chile; Nicaragua; Ideologies,,
Evaluar y Contrastar las Transformaciones de las Estructuras Sociales Ocurridas en Vietnam y Sudáfrica Durante la Guerra Fría,Sophie Quinteros; Florencia Espinosa,"Este documento evalúa y contrasta las transformaciones en las estructuras sociales de Vietnam y Sudáfrica durante la Guerra Fría. En Vietnam, el conflicto ideológico entre socialismo y capitalismo remodeló la educación, los medios, los roles de género y las aspiraciones de progreso, dejando un legado duradero tras la reunificación. En Sudáfrica, el apartheid se entrelazó con las tensiones globales, reforzando la segregación racial mientras catalizaba movimientos de resistencia y cambios en la conciencia política y económica. A través de análisis de documentos históricos y fuentes primarias, se destaca cómo las confrontaciones ideológicas globales influyeron en las sociedades locales, acelerando desigualdades y fomentando luchas por la libertad. El estudio revela que la Guerra Fría no solo fue un choque de potencias, sino un catalizador de profundos cambios sociales en regiones diversas.","This document evaluates and contrasts the transformations in the social structures of Vietnam and South Africa during the Cold War. In Vietnam, the ideological conflict between socialism and capitalism reshaped education, media, gender roles, and aspirations for progress, leaving a lasting legacy after reunification. In South Africa, apartheid intertwined with global tensions, reinforcing racial segregation while catalyzing resistance movements and changes in political and economic consciousness. Through analysis of historical documents and primary sources, it highlights how global ideological confrontations influenced local societies, accelerating inequalities and fostering struggles for freedom. The study reveals that the Cold War was not only a clash of powers but a catalyst for profound social changes in diverse regions.",2025-11-29,1,1,45,54,Historia de Vietnam en la Guerra Fría,7,Guerra Fría; Vietnam; Sudáfrica; Apartheid; Transformaciones Sociales; Estructuras Sociales; Ideologías; Educación; Roles de Género; Resistencia,,https://www.revistacienciasestudiantes.com/Articles/Article-evaluar-y-contrastar-las-transformaciones-de-las-estructuras-sociales-ocurridas-en-vietnam-y-sudafrica-durante-la-guerra-fria-7.pdf,Cold War; Vietnam; South Africa; Apartheid; Social Transformations; Social Structures; Ideologies; Education; Gender Roles; Resistance,,
El Ajedrez: Un Estudio sobre el Impacto Cultural del Ajedrez Durante la Guerra Fría y su Simbolismo Ideológico en Chile,Javier Vergara; Santiago Soto,"El artículo examina las posturas ideológicas de los gobiernos chilenos de Allende y Pinochet ante la Guerra Fría, a través del ajedrez y tres fuentes históricas clave: el “Manual de Ajedrez” de Quimantú (1972), el cuento “La partida inconclusa” de Floridor Pérez (1980) y una fotografía de la 25ª Olimpiada de Ajedrez en Lucerna (1982). Estas revelan cómo el deporte simbolizó tensiones geopolíticas, desde la educación colectiva socialista hasta la resistencia cultural y la diplomacia dictatorial. La relevancia del tema reside en su utilidad para desentrañar las preferencias reveladas del Estado y la sociedad, según la teoría de Samuelson (Samuelson 1948), enriquecida con otros autores en un contexto latinoamericano. Así, el ajedrez actúa como espejo de alineaciones ideológicas: masificación bajo Allende y escape represivo con proyección occidental en la dictadura. En síntesis, los documentos destacan contradicciones y similitudes en el uso estatal del ajedrez para prestigio internacional, invitando a reflexionar sobre preferencias culturales contemporáneas frente a dilemas globales.","The article examines the ideological positions of the Chilean governments of Allende and Pinochet in the face of the Cold War, through chess and three key historical sources: the “Manual de Ajedrez” by Quimantú (1972), the story “La partida inconclusa” by Floridor Pérez (1980), and a photograph of the 25th Chess Olympiad in Lucerne (1982). These reveal how the sport symbolized geopolitical tensions, from socialist collective education to cultural resistance and dictatorial diplomacy. The relevance of the topic lies in its usefulness for unraveling the revealed preferences of the State and society, according to Samuelson’s theory (Samuelson 1948), enriched with other authors in a Latin American context. Thus, chess acts as a mirror of ideological alignments: massification under Allende and repressive escape with Western projection in the dictatorship. In summary, the documents highlight contradictions and similarities in the state’s use of chess for international prestige, inviting reflection on contemporary cultural preferences in the face of global dilemmas.",2025-11-29,1,1,55,63,Historia del Ajedrez en la Guerra Fría,8,Guerra Fría; Ajedrez; Chile; Ideología; Allende; Pinochet; Propaganda; Cultura,,https://www.revistacienciasestudiantes.com/Articles/Article-el-ajedrez-un-estudio-sobre-el-impacto-cultural-del-ajedrez-durante-la-guerra-fria-y-su-simbolismo-ideologico-en-chile-8.pdf,Cold War; Chess; Chile; Ideology; Allende; Pinochet; Propaganda; Culture,,
Book Review “De animales a dioses: Breve historia de la humanidad”,José Ignacio Carter,"Este trabajo presenta una reseña del libro “De animales a dioses” de Yuval Noah Harari, explorando su biografía, datos del libro y ediciones, así como un resumen detallado de sus ideas principales. Se centra en revoluciones clave como la Cognitiva, que permitió la cooperación mediante ficciones compartidas, y la Agrícola, vista como una trampa que empeoró la calidad de vida humana. A través de análisis y reflexiones, se examina cómo estas transformaciones han unificado y moldeado la humanidad hasta la era científica actual. En definitiva, el libro revela el ascenso del Homo sapiens de animales a entidades casi divinas, cuestionando nuestro futuro.","This work presents a review of the book “Sapiens” by Yuval Noah Harari, exploring his biography, book data and editions, as well as a detailed summary of its main ideas. It focuses on key revolutions such as the Cognitive, which enabled cooperation through shared fictions, and the Agricultural, seen as a trap that worsened human quality of life. Through analysis and reflections, it examines how these transformations have unified and shaped humanity up to the current scientific era. Ultimately, the book reveals the rise of Homo sapiens from animals to near-divine entities, questioning our future.",2025-12-12,1,1,65,72,Historia de la Humanidad,9,Yuval Noah Harari; Sapiens; Revolución Cognitiva; Revolución Agrícola; Ficciones Compartidas; Historia Humana,,https://www.revistacienciasestudiantes.com/Articles/Article-book-review-de-animales-a-dioses-breve-historia-de-la-humanidad-9.pdf,Yuval Noah Harari; Sapiens; Cognitive Revolution; Agricultural Revolution; Shared Fictions; Human History,Book Review,Book Review
El Sueño Humano y Sus Ciclos: Bases Neurobiológicas y Consecuencias de la Privación del Descanso,José Ignacio Carter; José Antonio Fuentes; Tomás Ramírez,"El artículo analiza el sueño humano desde una perspectiva neurobiológica, describiendo sus fases, ciclos y los procesos cerebrales involucrados. Se examinan las consecuencias de la privación del sueño en la salud física, cognitiva y psicológica, basándose en revisiones de artículos científicos y periodísticos. Se destaca la importancia de completar los ciclos del sueño para prevenir enfermedades, mejorar el rendimiento diario y reducir riesgos de accidentes. La hipótesis se confirma: la falta de sueño afecta negativamente el bienestar general. El estudio subraya la relevancia de un descanso adecuado para la regeneración corporal y mental.","The article analyzes human sleep from a neurobiological perspective, describing its phases, cycles, and the brain processes involved. It examines the consequences of sleep deprivation on physical, cognitive, and psychological health, based on reviews of scientific and journalistic articles. It highlights the importance of completing sleep cycles to prevent diseases, improve daily performance, and reduce accident risks. The hypothesis is confirmed: lack of sleep negatively affects overall well-being. The study emphasizes the relevance of adequate rest for bodily and mental regeneration.",2025-12-31,1,1,73,83,Neurobiología del sueño,10,Sueño; Ciclos del sueño; Privación del sueño; Neurobiología; Salud mental; Salud física; Rendimiento cognitivo,,https://www.revistacienciasestudiantes.com/Articles/Article-el-sueno-humano-y-sus-ciclos-bases-neurobiologicas-y-consecuencias-de-la-privacion-del-descanso-10.pdf,Sleep; Sleep cycles; Sleep deprivation; Neurobiology; Mental health; Physical health; Cognitive performance,,
El Reloj de Flores de Viña del Mar como Conmemoración de la Copa Mundial de 1962 y su Influencia en el Turismo y la Economía Local,José Ignacio Carter,"El Reloj de Flores de Viña del Mar es un ícono turístico construido en 1962 para conmemorar la Copa Mundial de Fútbol en Chile. Este estudio examina su diseño, que combina ingeniería suiza con jardinería local, utilizando más de 8.000 plantas ornamentales. Se analiza su impacto en el turismo, la generación de empleos y el impulso económico durante y después del evento, así como su rol en la promoción internacional de la ciudad. Ubicado estratégicamente, el reloj ha contribuido al desarrollo urbano y se mantiene como un atractivo principal.","The Flower Clock of Viña del Mar is a tourist icon built in 1962 to commemorate the FIFA World Cup in Chile. This study examines its design, combining Swiss engineering with local gardening, using over 8,000 ornamental plants. It analyzes its impact on tourism, job creation, and economic boost during and after the event, as well as its role in the international promotion of the city. Strategically located, the clock has contributed to urban development and remains a main attraction.",2026-01-21,2,1,1,5,Historia y Turismo,11,Reloj de Flores; Viña del Mar; Copa Mundial 1962; Turismo; Economía local,,https://www.revistacienciasestudiantes.com/Articles/Article-el-reloj-de-flores-de-vina-del-mar-como-conmemoracion-de-la-copa-mundial-de-1962-y-su-influencia-en-el-turismo-y-la-economia-local-11.pdf,Flower Clock; Viña del Mar; 1962 World Cup; Tourism; Local Economy,,